id,article_id,model,name,type,entity_id,paragraph,sentence
27303856,331842,english.all.3class.distsim.crf.ser,Broadway,LOCATION,2551,1,1
27303857,331842,english.all.3class.distsim.crf.ser,"Daniel Fish",PERSON,85567,1,2
27303858,331842,english.all.3class.distsim.crf.ser,Rodgers,PERSON,70833,1,2
27303859,331842,english.all.3class.distsim.crf.ser,Hammerstein,PERSON,98182,1,2
27303860,331842,english.all.3class.distsim.crf.ser,Oklahoma,LOCATION,1332,1,2
27303861,331842,english.all.3class.distsim.crf.ser,"Square Theater",LOCATION,546338,1,2
27303863,331842,english.all.3class.distsim.crf.ser,"Damon Daunno",PERSON,546335,3,1
27303865,331842,english.all.3class.distsim.crf.ser,"United States of America",LOCATION,2882,5,2
27303869,331842,english.all.3class.distsim.crf.ser,Broadway,LOCATION,2551,6,1
27303870,331842,english.all.3class.distsim.crf.ser,Fish,PERSON,85567,6,2
27303871,331842,english.all.3class.distsim.crf.ser,Oklahoma,LOCATION,1332,6,3
27303873,331842,english.all.3class.distsim.crf.ser,"Oscar Hammerstein II",PERSON,258700,7,1
27303878,331842,english.all.3class.distsim.crf.ser,Fish,PERSON,85567,8,2
27303879,331842,english.all.3class.distsim.crf.ser,"Trevor Nunn",PERSON,258711,8,4
27303880,331842,english.all.3class.distsim.crf.ser,"Susan Stroman",PERSON,272021,8,4
27303881,331842,english.all.3class.distsim.crf.ser,London,LOCATION,217,8,4
27303884,331842,english.all.3class.distsim.crf.ser,Oklahoma,LOCATION,1332,9,2
27303885,331842,english.all.3class.distsim.crf.ser,"Lynn Riggs",PERSON,258703,9,3
27303888,331842,english.all.3class.distsim.crf.ser,"Laura Jellinek",PERSON,709452,10,1
27303889,331842,english.all.3class.distsim.crf.ser,"Scott Zielinski",PERSON,709453,10,4
27303891,331842,english.all.3class.distsim.crf.ser,"Daniel Kluger",PERSON,709454,11,3
27303893,331842,english.all.3class.distsim.crf.ser,"Terese Wadden",PERSON,709455,12,1
27303905,331842,english.all.3class.distsim.crf.ser,"Curly McLain",PERSON,709456,13,2
27303906,331842,english.all.3class.distsim.crf.ser,"Laurey Williams",PERSON,709457,13,2
27303907,331842,english.all.3class.distsim.crf.ser,"Rebecca Naomi Jones",PERSON,546339,13,2
27303908,331842,english.all.3class.distsim.crf.ser,"Will Parker",PERSON,258696,13,2
27303909,331842,english.all.3class.distsim.crf.ser,"James Davis",PERSON,228062,13,2
27303910,331842,english.all.3class.distsim.crf.ser,"Ado Annie",PERSON,258735,13,2
27303911,331842,english.all.3class.distsim.crf.ser,"Ali Stroker",PERSON,554733,13,2
27303912,331842,english.all.3class.distsim.crf.ser,"Aunt Eller",PERSON,258702,13,2
27303913,331842,english.all.3class.distsim.crf.ser,"Mary Testa",PERSON,696446,13,2
27303914,331842,english.all.3class.distsim.crf.ser,"Ali Hakim",PERSON,709458,13,2
27303915,331842,english.all.3class.distsim.crf.ser,"Will Brill",PERSON,709459,13,2
27303921,331842,english.all.3class.distsim.crf.ser,"Jud Fry",PERSON,258707,14,1
27303922,331842,english.all.3class.distsim.crf.ser,"Patrick Vaill",PERSON,709460,14,1
27303923,331842,english.all.3class.distsim.crf.ser,Laurey,LOCATION,258695,14,1
27303924,331842,english.all.3class.distsim.crf.ser,Jud,PERSON,258707,14,2
27303925,331842,english.all.3class.distsim.crf.ser,Vaill,PERSON,709460,14,3
27303928,331842,english.all.3class.distsim.crf.ser,Oklahoma,LOCATION,1332,15,1
27303929,331842,english.all.3class.distsim.crf.ser,"John Heginbotham",PERSON,611047,15,4
27303936,331842,english.all.3class.distsim.crf.ser,Stroker,PERSON,554733,16,1
27303937,331842,english.all.3class.distsim.crf.ser,"Ado Annie",PERSON,258735,16,1
27303938,331842,english.all.3class.distsim.crf.ser,Davis,PERSON,228062,16,1
27303939,331842,english.all.3class.distsim.crf.ser,Brill,PERSON,709459,16,2
27303940,331842,english.all.3class.distsim.crf.ser,"Ali Hakim",PERSON,709458,16,2
27303941,331842,english.all.3class.distsim.crf.ser,Testa,PERSON,696446,16,2
27303945,331842,english.all.3class.distsim.crf.ser,Jones,PERSON,546339,17,2
27303946,331842,english.all.3class.distsim.crf.ser,Laurey,LOCATION,258695,17,2
27303947,331842,english.all.3class.distsim.crf.ser,Jud,PERSON,258707,17,2
