id,article_id,model,name,type,entity_id,paragraph,sentence
27303955,331842,english.all.3class.distsim.crf.ser,Bard College,ORGANIZATION,92610,20,3
27303956,331842,english.all.3class.distsim.crf.ser,St. Ann 's Warehouse,ORGANIZATION,13418,20,3
45387148,424546,english.all.3class.distsim.crf.ser,Fox News First,ORGANIZATION,6302,1,1
45387151,424546,english.all.3class.distsim.crf.ser,Fox News,ORGANIZATION,6302,2,1
15304668,305370,english.all.3class.distsim.crf.ser,American Legion,ORGANIZATION,56097,8,3
15304678,305370,english.all.3class.distsim.crf.ser,Supreme Court,ORGANIZATION,2594,11,3
45289207,424080,english.all.3class.distsim.crf.ser,New Orleans Pelicans,ORGANIZATION,6533,1,1
45289208,424080,english.all.3class.distsim.crf.ser,Duke,ORGANIZATION,1869,1,1
45289210,424080,english.all.3class.distsim.crf.ser,NBA,ORGANIZATION,6532,1,1
45289220,424080,english.all.3class.distsim.crf.ser,White House,ORGANIZATION,1061,3,1
45289222,424080,english.all.3class.distsim.crf.ser,Treasury,ORGANIZATION,4112,3,1
45289224,424080,english.all.3class.distsim.crf.ser,House,ORGANIZATION,1061,3,1
45289233,424080,english.all.3class.distsim.crf.ser,Senate Appropriations Committee,ORGANIZATION,15212,4,1
45289236,424080,english.all.3class.distsim.crf.ser,House,ORGANIZATION,1061,4,2
45289248,424080,english.all.3class.distsim.crf.ser,Senate,ORGANIZATION,15212,10,2
45289256,424080,english.all.3class.distsim.crf.ser,Capitol,ORGANIZATION,15232,12,2
45289271,424080,english.all.3class.distsim.crf.ser,House,ORGANIZATION,1061,14,3
45289272,424080,english.all.3class.distsim.crf.ser,Trump Administration,ORGANIZATION,3474,14,3
45289276,424080,english.all.3class.distsim.crf.ser,Speaker 's Office,ORGANIZATION,887092,16,1
45289308,424080,english.all.3class.distsim.crf.ser,House,ORGANIZATION,1061,24,2
45289326,424080,english.all.3class.distsim.crf.ser,Pentagon,ORGANIZATION,1782,27,2
45289327,424080,english.all.3class.distsim.crf.ser,Congress,ORGANIZATION,387,27,2
45289333,424080,english.all.3class.distsim.crf.ser,Capitol Hill,ORGANIZATION,408,29,1
45289343,424080,english.all.3class.distsim.crf.ser,House,ORGANIZATION,1061,31,2
45289344,424080,english.all.3class.distsim.crf.ser,IRS,ORGANIZATION,395,31,3
45289345,424080,english.all.3class.distsim.crf.ser,House Budget Committee,ORGANIZATION,84259,31,4
45289354,424080,english.all.3class.distsim.crf.ser,Pentagon,ORGANIZATION,1782,32,2
45289361,424080,english.all.3class.distsim.crf.ser,Congress,ORGANIZATION,387,34,3
45289362,424080,english.all.3class.distsim.crf.ser,Obama Administration,ORGANIZATION,32548,34,3
45289365,424080,english.all.3class.distsim.crf.ser,White House,ORGANIZATION,1061,35,1
45289370,424080,english.all.3class.distsim.crf.ser,Senate,ORGANIZATION,15212,36,4
45289371,424080,english.all.3class.distsim.crf.ser,Senate,ORGANIZATION,15212,36,5
45289372,424080,english.all.3class.distsim.crf.ser,House,ORGANIZATION,1061,36,5
45289378,424080,english.all.3class.distsim.crf.ser,GOP,ORGANIZATION,3431,38,5
45289382,424080,english.all.3class.distsim.crf.ser,Defense,ORGANIZATION,3607,39,3
22317045,283956,english.all.3class.distsim.crf.ser,NPR,ORGANIZATION,2991,7,1
31202469,320418,english.all.3class.distsim.crf.ser,British Parliament,ORGANIZATION,70687,7,1
31202643,320418,english.all.3class.distsim.crf.ser,Duke of Cornwall,ORGANIZATION,671301,20,3
31202646,320418,english.all.3class.distsim.crf.ser,Russell Harvard,ORGANIZATION,279723,20,3
45388070,424547,english.all.3class.distsim.crf.ser,Catholic News Agency,ORGANIZATION,8039,6,1
45345091,424388,english.all.3class.distsim.crf.ser,Navy,ORGANIZATION,5817,1,1
45345095,424388,english.all.3class.distsim.crf.ser,ISIS,ORGANIZATION,3002,1,1
45345105,424388,english.all.3class.distsim.crf.ser,Navy,ORGANIZATION,5817,2,1
45345145,424388,english.all.3class.distsim.crf.ser,ISIS,ORGANIZATION,3002,8,1
45345157,424388,english.all.3class.distsim.crf.ser,ISIS,ORGANIZATION,3002,9,1
45345175,424388,english.all.3class.distsim.crf.ser,Naval Criminal Investigative Service,ORGANIZATION,18835,12,1
45345193,424388,english.all.3class.distsim.crf.ser,NCIS,ORGANIZATION,18835,14,1
45389092,424548,english.all.3class.distsim.crf.ser,Soho Farmhouse,ORGANIZATION,348204,6,2
45389118,424548,english.all.3class.distsim.crf.ser,Foreign Office,ORGANIZATION,11865,15,2
45346867,424389,english.all.3class.distsim.crf.ser,Camden County Prosecutor 's Office,ORGANIZATION,887879,2,1
45346869,424389,english.all.3class.distsim.crf.ser,Cooper University Hospital,ORGANIZATION,708191,3,2
45349372,424392,english.all.3class.distsim.crf.ser,Fox News,ORGANIZATION,1860,1,1
45349374,424392,english.all.3class.distsim.crf.ser,House,ORGANIZATION,388,1,1
45349411,424392,english.all.3class.distsim.crf.ser,ABC News,ORGANIZATION,7760,9,2
45348093,424390,english.all.3class.distsim.crf.ser,Fresno Police,ORGANIZATION,195540,2,1
45350340,424393,english.all.3class.distsim.crf.ser,CNN,ORGANIZATION,4139,1,1
45350347,424393,english.all.3class.distsim.crf.ser,White House,ORGANIZATION,1061,2,1
